opinion_id,author,recommendation,stars,content,useful,useless,publish_date,purchase_date,pros,cons
14849688,d...3,Polecam,5/5,"Syn jest bardzo zadowolony. To już drugi taki zegarek, poprzedni nosił 4 lata non stop. Nie zdejmował nawet na basen czy do kąpieli. Gdyby nie uszkodzenie przez męża przy wymianie baterii, pewnie nosiłby nadal. Bardzo polecam. Super zegarek w przyzwoitej cenie.",0,0,2021-08-17 11:23:34,2021-08-12 16:39:49,"['jakość', 'stosunek cena/jakość', 'wygląd', 'wygoda']",[]
8072250,Aga,Polecam,5/5,Świetny zegarek w super cenie.,8,1,2018-06-22 12:01:06,2018-06-08 17:36:34,"['jakość', 'stosunek cena/jakość', 'wygląd', 'wygoda', 'żywotność baterii']",[]
14955755,b...w,Polecam,5/5,"Rewelacja.... Prosty,... Takiego chciałem....😁😁😁😁",0,0,2021-09-14 17:52:04,2021-09-12 10:08:48,"['jakość', 'stosunek cena/jakość', 'wygląd', 'wygoda']",[]
8998125,Tomasz,Polecam,4/5,Super wygodny i niezawodny - lata młodości wróciły !,5,6,2019-01-28 11:51:39,2019-01-23 23:56:41,[],[]
11817759,Użytkownik Ceneo,Polecam,5/5,W porządku. Klasyk.,2,0,2020-02-27 20:50:57,2020-02-20 23:40:08,[],[]
14185904,c...3,Polecam,5/5,Fajny zegarek.Powrot do dzieciństwa.,0,0,2021-03-26 18:08:30,2021-03-07 22:40:00,"['jakość', 'wygląd', 'wygoda', 'żywotność baterii']",[]
14611013,l...5,Polecam,5/5,"Wszystko Ok, trochę skrzypi pasek",0,0,2021-06-16 22:39:05,2021-05-30 10:55:54,"['alarm', 'cena', 'jakość', 'lekki', 'mega lekki', 'ponadczasowy design', 'precyzyjny', 'prosty', 'stoper', 'stosunek cena/jakość', 'tani', 'wygląd', 'wygoda', 'wygodny', 'żywotność baterii']",[]
14156895,Michał,Polecam,5/5,wszystko zgodne z opisem polecam,0,0,2021-03-22 11:14:37,2021-03-17 21:50:27,[],[]
12024944,Użytkownik Ceneo,Polecam,5/5,Najlepszy zegarek w tej cenie,0,0,2020-03-31 12:08:19,2020-03-11 12:34:58,[],[]
12848781,s...a,Polecam,5/5,"Casio F-91W jest idelanym modelem dla osób, które szukają najbardziej potrzebnych funkcji zegarka zamkniętych w sensownej i kompaktowej kopercie. Za niską cenę dostajemy zegarek z możliwością zmiany czas z trybu 12 na 24 godzinny, wyświetlania dnia tygodnia oraz miesiąca, stoper oraz alarm. Dodatkowo jest też długożywotna bateria oraz najniższa klasa wodooporności, która ma jeszcze spory zapas bezpieczeństwa, co zostało sprawdzone przez wiele osób na Youtube (polecam obejrzeć).
Podsumowując - za 45 zł żal nie kupić.",0,0,2020-07-24 11:40:53,2020-07-12 11:44:16,"['jakość', 'wygląd', 'wygoda', 'żywotność baterii']",[]
